price_date,sentiment_score,ret_cs_std,ret_cs_mad,ret_mean,n_tickers_returns,coverage_ratio,roll_corr_sent_std_5d,roll_corr_sent_std_10d,roll_corr_sent_std_30d,roll_corr_sent_mad_5d,roll_corr_sent_mad_10d,roll_corr_sent_mad_30d,roll_corr_sent_mean_5d,roll_corr_sent_mean_10d,roll_corr_sent_mean_30d
2024-02-09 00:00:00+00:00,0.014184300818449841,0.011920906062389354,0.009207839179197106,0.011526984877924041,7,1.0,,,,,,,,,
2024-02-26 00:00:00+00:00,0.002399105911276176,0.020499342091214415,0.01177523597626977,-0.00390812048989745,7,1.0,,,,,,,,,
2024-03-04 00:00:00+00:00,-0.06090615091905478,0.02147093699689586,0.014472390731098841,-0.009831420850450098,7,1.0,,,,,,,,,
2024-03-11 00:00:00+00:00,-0.04234858565941089,0.014153689502657753,0.010947136864493156,-0.003248884161566005,7,1.0,,,,,,,,,
2024-03-19 00:00:00+00:00,-0.013564084426829564,0.013228113254783775,0.009069013382350152,0.008882966575793136,7,1.0,-0.43531102695476737,,,-0.7153355514215907,,,0.7385414405584173,,
2024-03-25 00:00:00+00:00,-0.11918906927589447,0.010265527460914548,0.00819593136801904,0.0050302206538512745,7,1.0,0.49913375180911973,,,0.2740558151439098,,,-0.09619915755694866,,
2024-04-04 00:00:00+00:00,-0.18230780738679803,0.01706459288013583,0.011175729952388493,-0.01725304374946072,7,1.0,-0.04142968696051119,,,0.0364580552150745,,,0.6223756048806407,,
2024-04-08 00:00:00+00:00,0.019600560807663422,0.015164511161979768,0.011522906992736887,-0.0022167397928679286,7,1.0,-0.11514474163579579,,,0.13442184422947995,,,0.5844882548077618,,
2024-04-09 00:00:00+00:00,0.0683443930886259,0.014712981134463695,0.01080349062708,-0.0015525574085929823,7,1.0,-0.011272054900464613,,,0.2234625769393345,,,0.47492796076935484,,
2024-04-11 00:00:00+00:00,-0.06970684740077425,0.014497658644470808,0.011577660180740312,0.01791885341261573,7,1.0,0.019612915475561876,-0.018895729517605157,,0.2811155509688685,0.003492514729489023,,0.24233477084854596,0.3072661700528098,
2024-04-17 00:00:00+00:00,-0.11831635840179533,0.014983533349567979,0.009179663354463491,-0.01717660203079695,7,1.0,-0.6606004878470965,0.08896530120390786,,0.24525704306262303,0.19061974402641224,,0.44798339362306805,0.34760712990497533,
2024-04-25 00:00:00+00:00,-0.07244006817602566,0.02343182044723815,0.018581690214376497,0.03356220325717981,7,1.0,-0.2739467987998457,-0.08136155229329971,,-0.13338315995957964,0.034635545333952085,,-0.12351949693610723,0.21340687198880634,
2024-04-30 00:00:00+00:00,-0.05087342710737676,0.010976501586913694,0.00802815177985861,-0.01853550766981833,7,1.0,-0.16572095558370936,-0.09558953214761277,,-0.07134267353887998,0.025965551657826984,,-0.019007523037836923,0.18561924247235448,
2024-05-09 00:00:00+00:00,-0.06260660077141329,0.012792067969564945,0.010292952251867793,-0.0005146699303602639,7,1.0,-0.21328925601194715,-0.08714968959711844,,0.047469582675186375,0.026415920802199712,,0.20142690999297128,0.19312360468817547,
