date,open,high,low,close,adj_close,volume,ticker
2025-12-16,272.82000732421875,275.5,271.7900085449219,274.6099853515625,274.6099853515625,37648600.0,AAPL
2025-12-17,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,271.8399963378906,50138700.0,AAPL
2025-12-18,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,272.19000244140625,51630700.0,AAPL
2025-12-19,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,273.6700134277344,144632000.0,AAPL
2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,270.9700012207031,36571800.0,AAPL
2025-12-23,270.8399963378906,272.5,269.55999755859375,272.3599853515625,272.3599853515625,29642000.0,AAPL
2025-12-24,272.3399963378906,275.42999267578125,272.20001220703125,273.80999755859375,273.80999755859375,17910600.0,AAPL
2025-12-26,274.1600036621094,275.3699951171875,272.8599853515625,273.3999938964844,273.3999938964844,21521800.0,AAPL
2025-12-29,272.69000244140625,274.3599853515625,272.3500061035156,273.760009765625,273.760009765625,23715200.0,AAPL
2025-12-30,272.80999755859375,274.0799865722656,272.2799987792969,273.0799865722656,273.0799865722656,22139600.0,AAPL
2025-12-31,273.05999755859375,273.67999267578125,271.75,271.8599853515625,271.8599853515625,27293600.0,AAPL
2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,271.010009765625,37838100.0,AAPL
2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,267.260009765625,45647200.0,AAPL
2026-01-06,267.0,267.54998779296875,262.1199951171875,262.3599853515625,262.3599853515625,52352100.0,AAPL
2026-01-07,263.20001220703125,263.67999267578125,259.80999755859375,260.3299865722656,260.3299865722656,48309800.0,AAPL
2026-01-08,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,259.0400085449219,50419300.0,AAPL
2026-01-09,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,259.3699951171875,39997000.0,AAPL
2026-01-12,259.1600036621094,261.29998779296875,256.79998779296875,260.25,260.25,45263800.0,AAPL
